Imitation 2,PRE_S,POST_S,PRE_RC,POST_RC,PRE_V,POST_V,PRE_LC,POST_LC,Interval
BMUCM_T1,6.59,-27.55,NAN,-39.09,-12.88,5.1,50.36,-4.34,P5
BMUCM_T1,32.7,19.53,57.99,-44.04,-66,-48.8,-29.15,49.74,M3
BMUCM_T1,44.62,78.26,46.94,34.6,0.44,-8.51,60.86,32.5,P4
BMUCM_T1,-10.37,5.54,46.63,8.35,-52.77,-52.97,-15.84,3.58,M2
BMUCM_T1,58.57,-48.9,-72.62,25.29,-94.67,-22.37,33.53,52.86,Unison
BMUCM_T1,7.55,24.86,27.35,14.85,-6.78,-14.87,5.01,30.1,M2
BMUCM_T1,-4.46,4.59,-47.22,-54.77,32.03,13.17,15.53,8.51,P5
BMUCM_T1,49.32,-48.58,-25.01,18.56,-9.27,26.62,12.96,41.13,Unison
BMUCM_T1,54.83,36.72,20.33,-2.96,3.48,12.75,23.8,-12.3,M3
BMUCM_T1,40.06,25.61,18.45,-25.34,36.61,18.71,77.17,9.28,P4
BMUCM_T2,23.96,18.56,18.61,9.93,17.76,26.23,18.53,26.97,P5
BMUCM_T2,-9.03,31.33,-19.11,-29.92,-9.29,-2.03,13.77,13.26,M3
BMUCM_T2,5.46,14.33,-0.12,-11.63,-16.21,14.87,38.77,0.96,P4
BMUCM_T2,9.28,20.49,-26.74,-1.55,-3.11,-11.66,25.53,4.57,M2
BMUCM_T2,18.45,29.78,3.98,30.03,51.24,-0.71,20.31,-9.1,Unison
BMUCM_T2,4.45,18.42,32.13,10.92,-12.4,11.1,20.06,-7.3,M2
BMUCM_T2,23.72,16.11,7.35,4.68,12.11,22.9,25.5,4.51,P5
BMUCM_T2,41.08,21.88,7.92,21.79,32.85,-21.55,9.78,-10.62,Unison
BMUCM_T2,-17.1,24.49,-28.19,-41.81,-27.65,-9.02,25.7,-2.25,M3
BMUCM_T2,-5.89,37.74,-22.85,-9.54,13.26,-1.28,20.15,9.57,P4
BMUCM_02,26.85,61.03,14.7,19.31,32.67,58.8,-7.33,40.46,P5
BMUCM_02,-36.47,9.1,-12.65,-3.51,-19.84,-13.26,-2.8,-0.92,M3
BMUCM_02,0.88,21.92,-43.45,19.13,84.54,12.8,27.52,49.75,P4
BMUCM_02,-55.51,-14.58,-24.31,3.83,-11.15,-38.67,21.09,5.59,M2
BMUCM_02,74.09,11.3,14.11,22.22,-11.86,-49.96,15.55,32.3,Unison
BMUCM_02,-5.75,11.19,9.87,15.7,31.82,65.18,-16.36,-4.99,M2
BMUCM_02,65.34,56.85,54.74,48.46,46.46,56.98,24.56,51.14,P5
BMUCM_02,-31.72,31.62,23.08,30.92,54.54,24.89,-15.33,12.12,Unison
BMUCM_02,6.08,35.46,-50.95,-22.7,-0.05,18.99,-4.65,15.82,M3
BMUCM_02,45.92,55.95,31.14,36.32,51.98,62.71,4.49,-2.14,P4
BMUCM_03,-21.29,-7.69,17.99,-2.72,-15.67,0.92,-18.89,20.44,P5
BMUCM_03,11.7,13.1,13.21,14.18,2.12,15.35,31.15,-3.97,M3
BMUCM_03,-16.09,6.95,25.71,8.08,37.04,43.96,41.47,35.45,P4
BMUCM_03,10.68,-32.68,-4.1,14.29,-7.56,-0.63,23.75,-7.16,M2
BMUCM_03,-21.72,-17.47,7.68,16.19,19.63,27.8,-14.25,-12.95,Unison
BMUCM_03,37.06,12.45,39.9,17.15,5.2,-38.33,10.14,12.45,M2
BMUCM_03,-9.71,16.26,18.75,26.78,6.43,6.91,29.32,22.02,P5
BMUCM_03,-15.57,-15.43,-21.88,-6.11,6.96,48.84,-3.09,-22.58,Unison
BMUCM_03,-12.78,-10.93,24.21,-2.76,5.24,-11.91,-675.95,21.18,M3
BMUCM_03,23.33,13.11,41.47,18.21,11.79,18.86,32.13,15.31,P4
BMUCM_04,23.65,24.49,19.45,27.82,34.63,30.89,37.01,34.19,P5
BMUCM_04,66.1,54.63,24.12,27.84,27.55,22.19,13.11,77.29,M3
BMUCM_04,39.05,56.97,39.47,44.14,41.47,5.37,33.37,55.88,P4
BMUCM_04,49.33,64.62,87.22,69.96,61.23,79.04,60.03,87.82,M2
BMUCM_04,77.79,140.26,44.53,75.19,140.47,109.82,115.86,98.19,Unison
BMUCM_04,108.42,90.7,45.85,41.38,62.44,65.19,74.66,105.38,M2
BMUCM_04,13.58,42.72,19.39,30.85,4.69,9.84,23.47,28.65,P5
BMUCM_04,102.26,170.74,55.62,51.76,185.67,82.7,70.72,90.29,Unison
BMUCM_04,30.93,2.82,63.47,27.54,41.39,46.15,36.33,41.03,M3
BMUCM_04,64.85,61.14,47.73,41.26,66.33,49.3,29.78,45.36,P4
BMUCM_07,34.94,0.09,34.27,21.25,7.84,-13.64,38.68,8.49,P5
BMUCM_07,-7.25,26.7,-6.83,4.35,7.52,13.81,22.18,2.94,M3
BMUCM_07,42.48,-14.14,39.73,17.61,20.24,7.89,59.51,26.8,P4
BMUCM_07,-27.43,22.2,29.7,2.69,3.32,20.72,-2.68,21.48,M2
BMUCM_07,11.06,84.11,24.39,12.87,15.6,41.24,23.88,38.86,Unison
BMUCM_07,18.75,93.3,27.45,77.48,33.56,50.19,23.14,49.81,M2
BMUCM_07,36.33,21.36,35.86,29.15,33.31,13.7,24.21,20.4,P5
