Imitation 1,PRE_S,POST_S,PRE_RC,POST_RC,PRE_V,POST_V,PRE_LC,POST_LC,Interval
BMUCM_T1,35.73,-19.22,52.85,49.29,-33.87,-8.95,16.98,-0.29,Unison
BMUCM_T1,16.96,129.65,-24.99,12.61,15.28,50.3,-26.47,19.48,M2
BMUCM_T1,-6.31,44.61,40.4,-4.97,26.15,3.46,10.21,10.35,P5
BMUCM_T1,-6.14,-36.91,-80.7,-56.82,-10.32,39.83,-71.97,-20.34,P4
BMUCM_T1,7.71,16.22,-37.79,-44.02,22.75,-16.74,-44.16,-33.91,M3
BMUCM_T1,12.37,48.41,56.38,-23.96,20.09,24.13,17.4,12.95,P4
BMUCM_T1,29.23,-99.91,-12.72,30.6,-19.02,18.12,-8.05,28.31,Unison
BMUCM_T1,-32.58,-1.06,-10.18,-17.41,3.68,39.92,-24.07,-16.87,M3
BMUCM_T1,5.82,6.05,-10.86,14.75,12.76,14.89,4.18,67.43,P5
BMUCM_T1,47.85,-19.65,7.05,30.32,10.34,20.5,-20.4,-66.44,M2
BMUCM_T2,18.7,2.32,38.47,37.91,50.58,22.7,59.83,10.85,Unison
BMUCM_T2,36.83,18.76,36.47,28.32,24.19,27.88,30.64,23.39,M2
BMUCM_T2,26.39,22.58,25.84,44.89,6.78,12.28,28.92,29.83,P5
BMUCM_T2,28.77,-2.62,11.74,0.73,0.77,1.98,-3.06,12.38,P4
BMUCM_T2,14.6,16.65,24.14,11.98,32.49,12.77,19.55,20.6,M3
BMUCM_T2,32.55,8.09,5.71,24.5,18.98,12.42,-6.52,25.89,P4
BMUCM_T2,57.01,27.71,22.5,45.52,42.98,3.47,11.86,25.9,Unison
BMUCM_T2,1.64,11.46,14.75,17.18,5.78,15.66,38.14,10.81,M3
BMUCM_T2,31.79,36.65,45.93,35.59,31.75,27.64,4.81,39.78,P5
BMUCM_T2,13.83,-1.57,43.7,24.42,47.87,-24.17,20.03,3.59,M2
BMUCM_02,28.33,22.89,60.78,27.05,84.24,31.24,40.31,9.6,Unison
BMUCM_02,13.82,31.84,31.5,-6.93,20.28,40.05,22.24,16.32,M2
BMUCM_02,-20.84,80.88,3.26,17.85,83.48,27.41,7.05,16.52,P5
BMUCM_02,-2.98,10.35,-16.48,-25.14,-17.8,27.06,23.7,-4.07,P4
BMUCM_02,13.1,2.35,5.64,-5.26,23.82,-6.28,-9.13,2.2,M3
BMUCM_02,13.82,8.58,-13.65,15.6,30.25,53.26,20.23,-4.84,P4
BMUCM_02,44.2,13.57,60.71,54.04,112.47,52.52,73.04,-8.91,Unison
BMUCM_02,-3.1,48.71,-15.95,11.36,31.83,47.34,12.38,20.74,M3
BMUCM_02,-17.7,33.55,15.44,24.36,68.06,88.57,5.63,12.93,P5
BMUCM_02,16.05,43.61,-2.1,1.22,31.44,25.91,-8.57,20.81,M2
BMUCM_03,12.03,10.45,24.91,22.86,11.46,NA,-5.68,21.26,Unison
BMUCM_03,39.53,-14.31,26.61,15.94,7.68,-0.03,5.58,32.09,M2
BMUCM_03,25,23.69,15.84,10.81,-17.73,23.65,13.86,18.24,P5
BMUCM_03,-17.34,46.24,10.18,24.67,-5.48,-13.16,5.03,-2.31,P4
BMUCM_03,0.14,12.99,16.92,12.17,-4.26,6.64,29.38,14.81,M3
BMUCM_03,28.43,20.2,4.06,6.7,6.59,6.62,15.5,26.69,P4
BMUCM_03,0.31,-22.01,20.24,10.68,21.03,12.97,12.78,7.08,Unison
BMUCM_03,10.92,25.47,30.77,25.58,32.66,-9.5,43.29,21.35,M3
BMUCM_03,55.76,28.81,10.63,-3.93,-29.77,96.65,11.15,39.2,P5
BMUCM_03,39.05,-0.7,12,8.18,25.99,-4.22,28.44,-26.1,M2
BMUCM_04,108.34,246.87,8.1,51.3,94.43,147.34,33.55,82.29,Unison
BMUCM_04,76.51,136.06,49.81,48.24,90.59,180.98,7.97,53.12,M2
BMUCM_04,50.96,59.65,26.03,51.95,69.74,17.45,45.23,44.1,P5
BMUCM_04,35,15.41,-19.62,22.24,54.88,41.21,16.32,28.01,P4
BMUCM_04,26.87,35.82,-7.94,9.46,30.94,18.85,24.05,15.32,M3
BMUCM_04,45.63,27.07,28.89,17.4,7.69,39.53,36.04,41.32,P4
BMUCM_04,92.72,237.16,7.5,41.56,78.13,72.28,114.13,109,Unison
BMUCM_04,29.63,24.91,27.49,8.89,27.86,62.59,8.22,53.3,M3
BMUCM_04,60.33,54.46,46.16,27.39,101.07,64.97,37.25,32.7,P5
BMUCM_04,123.04,147.19,62.48,53.91,32.92,102.86,58.33,46.75,M2
BMUCM_07,4.24,131.01,74.36,10.49,86.43,15.12,30.8,37.63,Unison
BMUCM_07,92.48,89.25,8.97,35.54,61.9,-10.12,72.71,36.69,M2
BMUCM_07,18.08,44.96,18.74,38.33,-23.22,9.47,-7.78,20.74,P5
BMUCM_07,-16.24,10.36,-18.22,1.08,-18.51,4.16,1.6,6.95,P4
BMUCM_07,16.32,30.83,6.15,11.5,16.31,42.69,26.52,-5.82,M3
BMUCM_07,2.22,52.99,2.5,45.94,12.12,29.66,20.01,1.13,P4
BMUCM_07,-7.75,90.93,81.32,47.95,24.62,76.16,50.74,19.8,Unison
BMUCM_07,23.06,61.12,23.21,36.57,22.3,14.39,30.32,21.43,M3
BMUCM_07,25.49,49.8,20.33,10.59,-3.72,-36.6,11.26,20.52,P5
BMUCM_07,4.84,68.68,46.18,20.19,33.39,44.99,-3.26,19.55,M2
BMUCM_08,95.56,302.42,35.91,39.62,152.36,32.13,0.35,2.72,Unison
BMUCM_08,-1.7,18.49,24.44,91.83,87.25,100.12,17.08,13.07,M2
BMUCM_08,35.47,100.76,78.74,30.3,96.37,183.48,30.83,36.76,P5
BMUCM_08,27.66,2.47,23.74,44.88,-13.4,-6.91,-52.82,1.47,P4
BMUCM_08,36.54,3.99,-26.86,1.4,-1.29,-15.59,-25.54,-33.23,M3
BMUCM_08,34.29,57.62,11.95,109.64,76.46,28.09,-0.6,35.85,P4
BMUCM_08,51.97,78.28,56.62,71.62,149.24,46.55,69.77,-29.51,Unison
BMUCM_08,40.54,30.34,15.56,8.71,29.7,-3.03,-18.16,-11.88,M3
BMUCM_08,22.89,49.4,34.08,20.12,35.2,47.1,14.76,49.03,P5
BMUCM_08,-4.16,103.4,79.61,28.12,-36.08,83.12,29.85,-9.89,M2
BMUCM_10,60.22,46.93,57.61,11.1,39.86,35.86,55.13,46.88,Unison
BMUCM_10,35.97,-1.45,54.81,12.2,9.46,34.63,10.24,2.76,M2
BMUCM_10,24.32,63.84,40.23,-12.8,23.99,37.52,21.58,28.39,P5
BMUCM_10,41.5,2.49,39.42,62.19,27.45,11.03,-23.25,4.22,P4
BMUCM_10,21.13,-15.29,-26.27,-1.38,6.71,3.68,1.54,43.85,M3
BMUCM_10,45.65,-2.15,17.74,6.04,22.31,-40.01,-15.45,22.62,P4
BMUCM_10,80.35,54.97,44.35,40.02,39.13,63.02,60.33,14.09,Unison
BMUCM_10,-22.06,-6.49,18.65,-8.82,64.68,17.96,-6.49,9.3,M3
BMUCM_10,-2.78,-7.9,8.46,51.33,-1.85,14.19,28.86,2.52,P5
BMUCM_10,69.95,5.83,27.63,13.47,35.02,41.04,24.47,7.05,M2
BMUCM_11,-2.35,15.57,9.82,21.02,-20.93,8.05,40.18,NAN,Unison
BMUCM_11,20.62,1.32,4.31,8.31,29.76,27.6,24.6,10.37,M2
BMUCM_11,-8.43,1.73,2.75,16.34,13.12,4.98,7.97,4.26,P5
BMUCM_11,-5.86,30.39,-20.28,-20.49,-0.37,-6.35,-19.47,24.44,P4
BMUCM_11,15.82,-25.78,10.66,-1.33,0.62,7.93,3.54,-48.28,M3
BMUCM_11,3.17,6.59,2.24,5.37,-12.97,-7.44,-12.84,8.63,P4
BMUCM_11,23.31,31.81,8.58,13.96,7.14,25.27,26.92,38.97,Unison
BMUCM_11,11.11,27.72,-7.45,2.09,-12.83,-8.45,-0.08,-12.04,M3
BMUCM_11,-17.88,-11.62,26.83,15.25,-13.78,3.21,14.67,14.23,P5
BMUCM_11,-40.68,-15.09,10.68,-21.61,-12.54,-1.98,-9.23,-16.69,M2
BMUCM_12,32.44,54.19,38.43,NAN,27.56,44.05,29.97,38.21,Unison
BMUCM_12,5.19,26.72,267.9,12.56,33.48,14.27,-7.88,-0.56,M2
BMUCM_12,43.79,26.02,-6.18,34.26,41.5,35.95,30.76,82.19,P5
BMUCM_12,0.35,-55.61,37.68,42.04,-10.63,-3.37,41.29,8.9,P4
BMUCM_12,-38.36,-19.08,42.77,-17.67,26.46,-10.62,26.41,-7.5,M3
BMUCM_12,21.44,-41.71,107.49,45.89,19.41,32.04,-1.55,37.24,P4
BMUCM_12,23.56,73.44,41.99,78.06,42.3,73.98,18.77,7.35,Unison
BMUCM_12,17.04,-4.33,12.57,36.18,13.36,1.2,22.17,8.02,M3
BMUCM_12,38.47,27.52,18.66,6.64,68.52,22.02,15.34,11.11,P5
BMUCM_12,10.58,23.61,13.72,28.56,18,45.41,61.46,-43.91,M2
